timestamp,current_ma,brightness,avg_cpu_freq
1768410353,550,1134,2150000
1768410354,1230,1015,2150000
1768410355,795,942,1544375
1768410356,451,886,2150000
1768410357,1206,837,1850000
1768410358,778,801,1530250
1768410359,1109,770,2150000
1768410360,977,753,1859125
1768410361,400,730,537500
1768410362,405,710,631250
1768410363,580,692,631250
1768410364,442,684,537500
1768410365,693,657,537500
1768410366,602,627,1397500
1768410367,1199,600,1505250
1768410368,1278,576,2150000
1768410369,485,564,1470250
1768410370,457,546,650000
1768410371,774,531,1570000
1768410372,390,531,537500
1768410373,550,518,537500
1768410374,596,505,1380250
1768410375,394,486,1380250
1768410376,1187,471,1853500
1768410377,1330,471,2150000
1768410378,1137,459,1819125
1768410379,1080,445,1504875
1768410380,602,439,1098750
1768410381,1643,499,1885000
1768410382,1200,959,2000000
1768410383,837,1329,1925750
1768410384,602,1562,1113750
1768410385,509,1562,1023750
1768410386,560,1562,660000
1768410387,1321,1562,2000000
1768410388,481,1562,732500
1768410389,586,1562,872500
1768410390,974,1562,1705250
1768410391,1454,1562,2150000
1768410392,1257,1562,1825000
1768410393,408,1562,747500
1768410394,632,1562,726250
1768410395,1308,1562,1987500
1768410396,716,1562,2000000
1768410397,1341,1562,2000000
1768410398,737,1425,1305125
1768410399,1214,1320,1885000
1768410400,416,1206,715000
1768410401,602,1128,2000000
1768410402,823,1083,2000000
1768410403,1163,1047,1753375
1768410404,310,1020,796250
1768410405,717,1004,1727500
1768410406,1389,1020,2150000
1768410407,1525,1033,2150000
1768410408,1350,1050,2150000
1768410409,1199,1067,2150000
1768410410,416,1082,2150000
1768410411,1303,1099,2150000
1768410412,1466,1124,2150000
1768410413,1559,1138,1975000
1768410415,1179,1138,2000000
1768410416,1223,1138,1654750
1768410417,376,1138,717500
1768410418,412,1138,556250
1768410419,431,1138,537500
1768410420,954,1138,2000000
1768410421,294,1138,760000
1768410422,559,1138,593750
1768410423,795,1138,672500
1768410424,478,1138,677500
1768410425,741,1193,1010000
1768410426,743,1283,712500
1768410427,484,1359,1170750
1768410428,678,1384,1785000
1768410429,446,1405,723750
1768410430,330,1429,537500
1768410431,865,1429,850000
1768410432,696,1429,987500
1768410433,789,1429,1090000
1768410434,381,1429,537500
1768410435,355,1429,537500
1768410436,364,1429,650875
1768410437,442,1429,2000000
1768410438,738,1429,1537250
1768410439,783,1429,901250
1768410440,995,1429,2000000
1768410441,391,1429,687500
1768410442,491,1429,2000000
1768410443,648,1429,825000
1768410444,370,1360,1108750
1768410445,662,1239,2000000
1768410446,327,1150,706250
1768410447,1053,1095,2000000
1768410448,536,1051,770000
1768410449,755,1020,825000
1768410450,442,995,616250
1768410451,438,974,850000
1768410452,372,959,537500
1768410453,366,952,537500
1768410454,487,953,1871250
1768410455,795,1116,1135000
